full_name,workflow_id,run_id,run_attempt,declared_styles,job_name,step_number,step_name,status,conclusion,step_started_at,step_completed_at,seconds_from_run_start,global_step_index,anchor_match,explicit_instru,buildish,real_deviceish,thirdparty_marker,gmd_marker,androidish,custom_followed_file_support,called_origin_match
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,12,Store artifacts for upload,completed,success,2026-03-20T22:33:56+00:00,2026-03-20T22:34:00+00:00,1410,12,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,13,Post Setup Gradle,completed,success,2026-03-20T22:34:00+00:00,2026-03-20T22:34:52+00:00,1414,13,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,14,Post Set up JDK,completed,success,2026-03-20T22:34:52+00:00,2026-03-20T22:34:52+00:00,1466,14,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,15,Post Checkout (with history),completed,success,2026-03-20T22:34:52+00:00,2026-03-20T22:34:52+00:00,1466,15,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,16,Complete job,completed,success,2026-03-20T22:34:52+00:00,2026-03-20T22:34:52+00:00,1466,16,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Upload to GitHub releases,1,Set up job,completed,success,2026-03-20T22:34:59+00:00,2026-03-20T22:35:01+00:00,1473,17,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Upload to GitHub releases,2,Download artifacts from previous job,completed,success,2026-03-20T22:35:01+00:00,2026-03-20T22:35:04+00:00,1475,18,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Upload to GitHub releases,3,Set release name,completed,success,2026-03-20T22:35:04+00:00,2026-03-20T22:35:04+00:00,1478,19,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Upload to GitHub releases,4,Upload release,completed,success,2026-03-20T22:35:04+00:00,2026-03-20T22:35:11+00:00,1478,20,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Upload to GitHub releases,5,Complete job,completed,success,2026-03-20T22:35:11+00:00,2026-03-20T22:35:11+00:00,1485,21,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Trigger remote signing,1,Set up job,completed,success,2026-03-20T22:35:16+00:00,2026-03-20T22:35:17+00:00,1490,22,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Trigger remote signing,2,Pull ghcr.io/distributhor/workflow-webhook-container:v3.0.8,completed,success,2026-03-20T22:35:17+00:00,2026-03-20T22:35:21+00:00,1491,23,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Trigger remote signing,3,Download artifacts from previous job,completed,success,2026-03-20T22:35:21+00:00,2026-03-20T22:35:22+00:00,1495,24,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Trigger remote signing,4,Set release name,completed,success,2026-03-20T22:35:22+00:00,2026-03-20T22:35:22+00:00,1496,25,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Trigger remote signing,5,Call remote signer,completed,success,2026-03-20T22:35:22+00:00,2026-03-20T22:35:23+00:00,1496,26,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Trigger remote signing,6,Complete job,completed,success,2026-03-20T22:35:23+00:00,2026-03-20T22:35:23+00:00,1497,27,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23358537727,1,Community,Build and test,1,Set up job,completed,success,2026-03-20T19:08:53+00:00,2026-03-20T19:08:59+00:00,4,1,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23358537727,1,Community,Build and test,2,Checkout (with history),completed,success,2026-03-20T19:08:59+00:00,2026-03-20T19:09:01+00:00,10,2,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23358537727,1,Community,Build and test,3,Validate Gradle Wrapper,completed,success,2026-03-20T19:09:01+00:00,2026-03-20T19:09:01+00:00,12,3,False,False,False,False,False,False,False,False,False
